PRIMEIRO_NOME;primeiro_sobrenome;segundo_sobrenome;PAIS;estado
Gustavo;Santos;Sousa;Portugal;Ceará
João;Almeida;Martins;Chile;Rio Grande do Sul
Ana;Almeida;Martins;Colômbia;Rio de Janeiro
Ricardo;Lima;Lima;Portugal;Paraná
Pedro;Sousa;Santos;Portugal;São Paulo
João;Oliveira;Ferreira;Portugal;Minas Gerais
João;Sousa;Martins;Colômbia;Paraná
Gustavo;Almeida;Oliveira;Brasil;Ceará
Camila;Martins;Santos;Chile;Ceará
Pedro;Silva;Silva;Argentina;Minas Gerais
João;Almeida;Ferreira;Brasil;Paraná
Maria;Santos;Almeida;Argentina;São Paulo
Maria;Lima;Santos;Colômbia;Pernambuco
Camila;Santos;Martins;Argentina;Paraná
Pedro;Ferreira;Santos;Brasil;Ceará
Pedro;Santos;Santos;Colômbia;Pernambuco
Fernanda;Almeida;Sousa;Colômbia;Bahia
Luísa;Pereira;Martins;Brasil;Pernambuco
Camila;Lima;Lima;Chile;Paraná
Carlos;Martins;Silva;Colômbia;Paraná
Carlos;Martins;Silva;Portugal;Pernambuco
Fernanda;Silva;Ferreira;Chile;Bahia
Maria;Lima;Sousa;Chile;Pernambuco
Luísa;Ferreira;Martins;Brasil;Pernambuco
Maria;Almeida;Pereira;Chile;Paraná
Fernanda;Lima;Lima;Portugal;Ceará
Fernanda;Silva;Silva;Colômbia;Minas Gerais
Pedro;Pereira;Ferreira;Brasil;Minas Gerais
Pedro;Ferreira;Oliveira;Colômbia;Rio Grande do Sul
Pedro;Pereira;Santos;Argentina;Paraná
Pedro;Pereira;Silva;Brasil;Rio Grande do Sul
João;Silva;Costa;Portugal;São Paulo
Carlos;Lima;Sousa;Chile;Rio Grande do Sul
Fernanda;Santos;Pereira;Chile;Ceará
Ana;Pereira;Martins;Chile;Rio de Janeiro
Luísa;Sousa;Sousa;Brasil;Bahia
Maria;Sousa;Pereira;Chile;Rio Grande do Sul
Carlos;Silva;Silva;Portugal;Paraná
Fernanda;Sousa;Martins;Chile;Rio de Janeiro
Luísa;Almeida;Oliveira;Chile;Minas Gerais
Ana;Lima;Oliveira;Portugal;Rio de Janeiro
Pedro;Pereira;Pereira;Portugal;Rio de Janeiro
Camila;Pereira;Martins;Colômbia;Minas Gerais
Gustavo;Ferreira;Lima;Brasil;São Paulo
Ana;Pereira;Oliveira;Argentina;Paraná
João;Santos;Santos;Chile;Pernambuco
João;Ferreira;Ferreira;Portugal;Rio de Janeiro
Gustavo;Pereira;Sousa;Argentina;Rio de Janeiro
João;Ferreira;Lima;Brasil;Minas Gerais
Gustavo;Pereira;Santos;Colômbia;São Paulo
Luísa;Oliveira;Pereira;Brasil;Rio Grande do Sul
Camila;Santos;Pereira;Brasil;São Paulo
Ana;Pereira;Sousa;Brasil;Ceará
Carlos;Pereira;Sousa;Argentina;Paraná
Gustavo;Lima;Ferreira;Colômbia;Paraná
Fernanda;Oliveira;Martins;Colômbia;Ceará
Gustavo;Sousa;Lima;Brasil;Paraná
Luísa;Martins;Silva;Portugal;Bahia
Fernanda;Almeida;Almeida;Colômbia;Rio Grande do Sul
Luísa;Pereira;Sousa;Colômbia;Ceará
Luísa;Oliveira;Pereira;Chile;Paraná
Pedro;Costa;Sousa;Portugal;Pernambuco
Pedro;Silva;Costa;Brasil;Pernambuco
Gustavo;Santos;Santos;Chile;São Paulo
Maria;Costa;Costa;Colômbia;Paraná
João;Sousa;Ferreira;Argentina;Rio Grande do Sul
Ana;Oliveira;Santos;Brasil;Bahia
Camila;Santos;Silva;Argentina;Pernambuco
Carlos;Santos;Santos;Argentina;Rio de Janeiro
Ricardo;Oliveira;Oliveira;Portugal;Bahia
Ana;Silva;Lima;Portugal;Pernambuco
Luísa;Costa;Martins;Argentina;Bahia
Ricardo;Silva;Almeida;Chile;Bahia
Maria;Lima;Ferreira;Colômbia;São Paulo
Ana;Pereira;Martins;Brasil;Pernambuco
João;Oliveira;Pereira;Colômbia;Rio Grande do Sul
Gustavo;Martins;Almeida;Portugal;São Paulo
Ricardo;Almeida;Silva;Argentina;Ceará
João;Martins;Costa;Colômbia;Minas Gerais
Pedro;Almeida;Santos;Chile;Bahia
Carlos;Silva;Oliveira;Brasil;Ceará
João;Silva;Santos;Portugal;Pernambuco
Maria;Santos;Sousa;Brasil;Bahia
Pedro;Sousa;Santos;Portugal;Rio de Janeiro
Ricardo;Almeida;Lima;Argentina;Paraná
Ricardo;Sousa;Ferreira;Argentina;Minas Gerais
Ricardo;Costa;Martins;Brasil;Rio de Janeiro
Fernanda;Ferreira;Pereira;Argentina;Rio de Janeiro
Fernanda;Almeida;Sousa;Argentina;São Paulo
Pedro;Lima;Lima;Brasil;São Paulo
Luísa;Costa;Lima;Colômbia;Minas Gerais
Gustavo;Martins;Costa;Portugal;Ceará
Ana;Costa;Santos;Brasil;Bahia
Ana;Sousa;Ferreira;Portugal;São Paulo
Ricardo;Almeida;Oliveira;Portugal;Rio de Janeiro
Pedro;Martins;Ferreira;Portugal;São Paulo
Pedro;Santos;Lima;Chile;Bahia
João;Almeida;Lima;Brasil;Minas Gerais
Pedro;Martins;Costa;Brasil;Minas Gerais
Gustavo;Costa;Ferreira;Colômbia;Rio de Janeiro
Maria;Sousa;Pereira;Argentina;Minas Gerais
Fernanda;Almeida;Oliveira;Argentina;Ceará
Ricardo;Santos;Ferreira;Brasil;Bahia
João;Almeida;Santos;Brasil;Paraná
Maria;Santos;Oliveira;Brasil;Ceará
Fernanda;Oliveira;Oliveira;Colômbia;Ceará
Maria;Martins;Martins;Chile;Ceará
Luísa;Ferreira;Silva;Colômbia;Pernambuco
Ana;Santos;Oliveira;Colômbia;Rio de Janeiro
Gustavo;Oliveira;Oliveira;Portugal;Pernambuco
Pedro;Almeida;Lima;Brasil;Minas Gerais
Luísa;Almeida;Sousa;Brasil;Rio Grande do Sul
Ana;Costa;Santos;Brasil;Rio de Janeiro
Ricardo;Costa;Almeida;Brasil;São Paulo
Fernanda;Silva;Costa;Argentina;São Paulo
Luísa;Martins;Oliveira;Chile;Rio Grande do Sul
Pedro;Silva;Sousa;Portugal;Minas Gerais
Fernanda;Costa;Sousa;Argentina;Bahia
Camila;Ferreira;Oliveira;Chile;Paraná
Luísa;Martins;Santos;Argentina;Bahia
João;Lima;Santos;Brasil;Paraná
Gustavo;Pereira;Costa;Portugal;Rio Grande do Sul
Carlos;Lima;Ferreira;Brasil;São Paulo
Gustavo;Martins;Santos;Colômbia;Rio de Janeiro
Carlos;Martins;Santos;Portugal;Rio Grande do Sul
Gustavo;Sousa;Ferreira;Argentina;Paraná
Maria;Costa;Pereira;Chile;Rio de Janeiro
Ana;Lima;Lima;Chile;São Paulo
Ricardo;Lima;Silva;Colômbia;Ceará
Ana;Almeida;Lima;Argentina;Ceará
Maria;Pereira;Oliveira;Brasil;Ceará
Ana;Martins;Costa;Brasil;Minas Gerais
Maria;Ferreira;Lima;Colômbia;Minas Gerais
Pedro;Ferreira;Silva;Argentina;Bahia
Camila;Almeida;Oliveira;Portugal;Ceará
Ana;Ferreira;Sousa;Colômbia;Paraná
Camila;Silva;Pereira;Portugal;São Paulo
João;Martins;Sousa;Portugal;Paraná
Ana;Martins;Silva;Brasil;Rio de Janeiro
Gustavo;Sousa;Ferreira;Brasil;Paraná
Pedro;Sousa;Ferreira;Portugal;Rio Grande do Sul
Camila;Santos;Lima;Brasil;São Paulo
João;Martins;Santos;Chile;Rio de Janeiro
Pedro;Sousa;Silva;Chile;Bahia
Ana;Silva;Sousa;Portugal;Ceará
Maria;Pereira;Martins;Colômbia;Pernambuco
Maria;Santos;Sousa;Brasil;Paraná
Fernanda;Ferreira;Ferreira;Brasil;Rio de Janeiro
Luísa;Costa;Costa;Chile;Ceará
Carlos;Ferreira;Oliveira;Colômbia;Ceará
Pedro;Oliveira;Martins;Argentina;Paraná
Pedro;Silva;Oliveira;Portugal;Paraná
João;Lima;Almeida;Colômbia;Pernambuco
João;Almeida;Santos;Brasil;Rio Grande do Sul
Carlos;Costa;Silva;Portugal;Minas Gerais
Fernanda;Silva;Almeida;Chile;Rio de Janeiro
Maria;Oliveira;Silva;Brasil;Rio Grande do Sul
Pedro;Sousa;Sousa;Portugal;Pernambuco
João;Costa;Silva;Brasil;Minas Gerais
Pedro;Lima;Silva;Argentina;Rio de Janeiro
Luísa;Santos;Martins;Argentina;Bahia
Camila;Sousa;Lima;Argentina;Rio de Janeiro
Carlos;Ferreira;Costa;Argentina;Ceará
Ana;Lima;Oliveira;Chile;Pernambuco
Fernanda;Sousa;Almeida;Argentina;Rio Grande do Sul
Gustavo;Silva;Ferreira;Chile;Rio Grande do Sul
João;Martins;Silva;Chile;Pernambuco
João;Almeida;Ferreira;Argentina;Bahia
Pedro;Silva;Costa;Colômbia;São Paulo
Carlos;Pereira;Martins;Brasil;Pernambuco
Pedro;Almeida;Almeida;Portugal;Bahia
Maria;Silva;Ferreira;Argentina;Bahia
Ricardo;Santos;Oliveira;Brasil;Ceará
Ricardo;Ferreira;Almeida;Brasil;Rio Grande do Sul
Pedro;Sousa;Silva;Brasil;São Paulo
João;Ferreira;Sousa;Colômbia;São Paulo
Maria;Costa;Santos;Brasil;Paraná
Camila;Santos;Ferreira;Argentina;Paraná
Ricardo;Almeida;Sousa;Colômbia;Minas Gerais
Pedro;Almeida;Martins;Chile;Pernambuco
Luísa;Sousa;Santos;Argentina;Bahia
Gustavo;Santos;Almeida;Portugal;Rio Grande do Sul
João;Pereira;Pereira;Chile;Ceará
Pedro;Sousa;Costa;Colômbia;Paraná
Pedro;Ferreira;Ferreira;Argentina;Rio de Janeiro
João;Pereira;Martins;Colômbia;Bahia
Fernanda;Ferreira;Ferreira;Colômbia;Ceará
João;Costa;Pereira;Brasil;Rio Grande do Sul
João;Martins;Santos;Portugal;Ceará
Gustavo;Silva;Oliveira;Chile;Minas Gerais
Maria;Santos;Lima;Chile;Minas Gerais
João;Costa;Santos;Chile;Paraná
Ricardo;Pereira;Silva;Argentina;Paraná
Luísa;Almeida;Sousa;Brasil;Rio de Janeiro
Pedro;Pereira;Lima;Brasil;São Paulo
Gustavo;Silva;Costa;Brasil;Bahia
Camila;Lima;Costa;Chile;Pernambuco
Fernanda;Martins;Costa;Argentina;Ceará
Fernanda;Almeida;Ferreira;Brasil;Paraná
Camila;Costa;Almeida;Portugal;São Paulo
Gustavo;Lima;Lima;Colômbia;Paraná
Maria;Ferreira;Oliveira;Brasil;Rio Grande do Sul
Maria;Santos;Martins;Portugal;Pernambuco
Maria;Ferreira;Lima;Chile;Minas Gerais
Camila;Almeida;Pereira;Portugal;Ceará
Camila;Silva;Oliveira;Portugal;Ceará
Ricardo;Sousa;Santos;Chile;São Paulo
Ricardo;Lima;Lima;Argentina;Rio de Janeiro
Maria;Santos;Sousa;Colômbia;São Paulo
Camila;Almeida;Sousa;Brasil;Rio de Janeiro
Ricardo;Martins;Almeida;Chile;Rio de Janeiro
Pedro;Silva;Ferreira;Argentina;Paraná
Camila;Costa;Martins;Argentina;Rio de Janeiro
Gustavo;Oliveira;Oliveira;Colômbia;Rio de Janeiro
Maria;Costa;Ferreira;Argentina;Rio Grande do Sul
João;Ferreira;Costa;Chile;Rio Grande do Sul
Gustavo;Costa;Santos;Portugal;Pernambuco
Ricardo;Silva;Pereira;Colômbia;São Paulo
Maria;Almeida;Costa;Chile;Rio de Janeiro
Gustavo;Costa;Pereira;Argentina;Paraná
Fernanda;Almeida;Sousa;Argentina;Rio de Janeiro
Ana;Lima;Sousa;Colômbia;Bahia
João;Almeida;Ferreira;Colômbia;Minas Gerais
Pedro;Santos;Lima;Chile;Bahia
João;Sousa;Costa;Brasil;Pernambuco
Luísa;Lima;Santos;Portugal;Rio Grande do Sul
João;Pereira;Almeida;Colômbia;Pernambuco
João;Ferreira;Costa;Portugal;Bahia
Ana;Costa;Lima;Portugal;Ceará
Fernanda;Pereira;Silva;Colômbia;Paraná
Carlos;Almeida;Pereira;Chile;Bahia
Maria;Santos;Lima;Brasil;Rio de Janeiro
João;Pereira;Costa;Colômbia;Rio de Janeiro
Pedro;Martins;Costa;Chile;Paraná
Camila;Ferreira;Ferreira;Portugal;Rio de Janeiro
Camila;Silva;Almeida;Brasil;Paraná
Gustavo;Lima;Costa;Argentina;Bahia
Maria;Martins;Santos;Colômbia;Minas Gerais
Camila;Almeida;Costa;Colômbia;Rio de Janeiro
João;Pereira;Silva;Chile;Bahia
Gustavo;Santos;Oliveira;Chile;Minas Gerais
Camila;Pereira;Santos;Portugal;Pernambuco
Luísa;Lima;Oliveira;Colômbia;São Paulo
Pedro;Silva;Pereira;Argentina;Paraná
Maria;Costa;Costa;Argentina;Pernambuco
Carlos;Oliveira;Pereira;Colômbia;Rio de Janeiro
Maria;Martins;Pereira;Argentina;Bahia
Gustavo;Ferreira;Ferreira;Argentina;Pernambuco
Luísa;Lima;Ferreira;Brasil;Bahia
Ricardo;Sousa;Sousa;Colômbia;Bahia
Camila;Pereira;Almeida;Brasil;Rio de Janeiro
Gustavo;Pereira;Oliveira;Portugal;Minas Gerais
Ricardo;Lima;Martins;Colômbia;São Paulo
Gustavo;Pereira;Lima;Chile;Bahia
Luísa;Santos;Silva;Portugal;Bahia
Carlos;Oliveira;Costa;Portugal;Ceará
Carlos;Almeida;Sousa;Brasil;Rio de Janeiro
Ana;Ferreira;Silva;Colômbia;Ceará
Ricardo;Lima;Costa;Brasil;Pernambuco
Carlos;Pereira;Almeida;Portugal;Rio de Janeiro
Carlos;Pereira;Ferreira;Colômbia;São Paulo
Luísa;Lima;Costa;Brasil;Ceará
João;Santos;Lima;Colômbia;Rio de Janeiro
Fernanda;Costa;Almeida;Portugal;Paraná
João;Lima;Pereira;Brasil;Bahia
Camila;Santos;Lima;Brasil;Paraná
João;Oliveira;Costa;Chile;Bahia
Luísa;Lima;Costa;Argentina;Rio Grande do Sul
João;Oliveira;Oliveira;Argentina;São Paulo
João;Martins;Pereira;Portugal;São Paulo
Pedro;Sousa;Silva;Brasil;Bahia
Ana;Lima;Sousa;Brasil;Paraná
João;Silva;Sousa;Brasil;Pernambuco
Ricardo;Ferreira;Almeida;Colômbia;Paraná
Ricardo;Costa;Pereira;Colômbia;Paraná
Luísa;Silva;Ferreira;Colômbia;Minas Gerais
Gustavo;Sousa;Silva;Brasil;Bahia
Gustavo;Pereira;Martins;Argentina;Rio Grande do Sul
Maria;Martins;Almeida;Portugal;Bahia
João;Santos;Costa;Brasil;Ceará
João;Costa;Lima;Brasil;Pernambuco
Gustavo;Ferreira;Santos;Chile;Minas Gerais
Pedro;Lima;Sousa;Argentina;Ceará
Gustavo;Pereira;Pereira;Portugal;São Paulo
Fernanda;Costa;Silva;Colômbia;Rio de Janeiro
Luísa;Pereira;Santos;Colômbia;Pernambuco
Gustavo;Almeida;Martins;Portugal;Pernambuco
Carlos;Santos;Costa;Chile;São Paulo
Luísa;Santos;Ferreira;Chile;Rio Grande do Sul
Camila;Silva;Costa;Chile;Minas Gerais
Ana;Ferreira;Oliveira;Argentina;Minas Gerais
Pedro;Almeida;Pereira;Chile;São Paulo
Camila;Lima;Costa;Portugal;Pernambuco
Carlos;Oliveira;Silva;Brasil;São Paulo
Camila;Lima;Santos;Portugal;Ceará
Ricardo;Oliveira;Lima;Chile;São Paulo
João;Oliveira;Pereira;Colômbia;Rio Grande do Sul
Maria;Pereira;Sousa;Chile;Minas Gerais
Camila;Ferreira;Almeida;Argentina;Ceará
Camila;Almeida;Ferreira;Colômbia;Paraná
Pedro;Ferreira;Martins;Colômbia;Rio de Janeiro
Gustavo;Oliveira;Sousa;Argentina;Rio Grande do Sul
João;Martins;Lima;Brasil;Minas Gerais
Gustavo;Costa;Costa;Chile;Bahia
Camila;Silva;Martins;Brasil;Bahia
Fernanda;Costa;Martins;Chile;Rio Grande do Sul
Ricardo;Pereira;Santos;Colômbia;Bahia
Gustavo;Sousa;Pereira;Chile;Ceará
Gustavo;Ferreira;Ferreira;Chile;Rio Grande do Sul
Ana;Lima;Ferreira;Portugal;São Paulo
Camila;Oliveira;Ferreira;Portugal;Pernambuco
Ana;Costa;Sousa;Argentina;Bahia
Carlos;Almeida;Santos;Colômbia;São Paulo
Luísa;Costa;Santos;Portugal;Ceará
Fernanda;Pereira;Costa;Portugal;Rio Grande do Sul
Carlos;Oliveira;Martins;Colômbia;Bahia
Gustavo;Costa;Oliveira;Colômbia;Pernambuco
Gustavo;Sousa;Santos;Portugal;Rio de Janeiro
Ana;Ferreira;Ferreira;Argentina;São Paulo
Luísa;Pereira;Pereira;Brasil;Rio de Janeiro
Ana;Oliveira;Ferreira;Brasil;Paraná
Gustavo;Lima;Almeida;Chile;Rio de Janeiro
Luísa;Almeida;Almeida;Brasil;Bahia
Pedro;Oliveira;Almeida;Argentina;Pernambuco
Fernanda;Oliveira;Pereira;Colômbia;Pernambuco
Ricardo;Santos;Almeida;Chile;Rio Grande do Sul
Gustavo;Silva;Ferreira;Brasil;Ceará
Fernanda;Lima;Costa;Argentina;Rio de Janeiro
Pedro;Pereira;Oliveira;Chile;Paraná
Pedro;Pereira;Santos;Argentina;Minas Gerais
Luísa;Silva;Lima;Argentina;Ceará
Fernanda;Almeida;Oliveira;Portugal;Rio Grande do Sul
João;Almeida;Lima;Brasil;Ceará
João;Santos;Costa;Portugal;São Paulo
João;Lima;Santos;Portugal;São Paulo
Luísa;Oliveira;Santos;Chile;São Paulo
Ricardo;Oliveira;Oliveira;Brasil;Bahia
Maria;Costa;Santos;Chile;Minas Gerais
Camila;Silva;Martins;Argentina;Ceará
Gustavo;Santos;Sousa;Colômbia;Paraná
Camila;Lima;Silva;Brasil;Minas Gerais
Pedro;Santos;Costa;Colômbia;Pernambuco
Luísa;Costa;Lima;Argentina;Paraná
João;Pereira;Silva;Portugal;Minas Gerais
Pedro;Santos;Martins;Argentina;São Paulo
Fernanda;Sousa;Ferreira;Brasil;Pernambuco
Gustavo;Silva;Almeida;Portugal;Ceará
Carlos;Martins;Oliveira;Chile;Rio Grande do Sul
Camila;Silva;Martins;Chile;Bahia
Maria;Lima;Santos;Argentina;Pernambuco
Pedro;Santos;Pereira;Argentina;Paraná
Ricardo;Oliveira;Silva;Argentina;Paraná
Gustavo;Silva;Martins;Portugal;Rio de Janeiro
Ana;Sousa;Martins;Chile;Minas Gerais
Fernanda;Costa;Oliveira;Portugal;São Paulo
Camila;Almeida;Costa;Argentina;Ceará
Pedro;Sousa;Martins;Argentina;Minas Gerais
Ricardo;Martins;Lima;Colômbia;Bahia
Gustavo;Lima;Ferreira;Chile;Rio de Janeiro
João;Pereira;Silva;Chile;Rio Grande do Sul
Ana;Lima;Pereira;Chile;Pernambuco
Maria;Martins;Sousa;Colômbia;Rio Grande do Sul
João;Almeida;Ferreira;Portugal;Paraná
Pedro;Santos;Sousa;Chile;São Paulo
Pedro;Silva;Santos;Brasil;Bahia
Pedro;Martins;Silva;Portugal;Bahia
Gustavo;Pereira;Ferreira;Argentina;Minas Gerais
Camila;Martins;Ferreira;Argentina;Rio de Janeiro
Luísa;Sousa;Ferreira;Portugal;Ceará
Pedro;Ferreira;Almeida;Brasil;Ceará
Camila;Almeida;Pereira;Chile;Rio de Janeiro
João;Oliveira;Sousa;Brasil;Bahia
Fernanda;Martins;Sousa;Chile;Ceará
Luísa;Pereira;Lima;Argentina;São Paulo
Maria;Martins;Lima;Brasil;Ceará
Ricardo;Ferreira;Martins;Argentina;Minas Gerais
Luísa;Martins;Lima;Brasil;Bahia
Camila;Costa;Lima;Portugal;Rio Grande do Sul
Camila;Sousa;Sousa;Argentina;Rio Grande do Sul
Luísa;Ferreira;Oliveira;Argentina;Rio de Janeiro
Luísa;Ferreira;Oliveira;Portugal;Rio Grande do Sul
Fernanda;Martins;Oliveira;Chile;Paraná
Ana;Oliveira;Lima;Portugal;Minas Gerais
Luísa;Costa;Pereira;Chile;Ceará
Carlos;Martins;Sousa;Brasil;Paraná
Ana;Ferreira;Ferreira;Portugal;Rio Grande do Sul
Pedro;Martins;Oliveira;Colômbia;Pernambuco
Pedro;Pereira;Pereira;Portugal;Minas Gerais
Pedro;Santos;Ferreira;Portugal;Ceará
Fernanda;Santos;Costa;Chile;Minas Gerais
Ana;Oliveira;Sousa;Portugal;Ceará
Carlos;Silva;Almeida;Brasil;Rio Grande do Sul
Luísa;Ferreira;Santos;Argentina;São Paulo
Luísa;Martins;Martins;Chile;Ceará
Maria;Pereira;Oliveira;Brasil;Rio de Janeiro
Luísa;Pereira;Ferreira;Argentina;Rio de Janeiro
Ricardo;Santos;Pereira;Argentina;Minas Gerais
Pedro;Sousa;Martins;Portugal;Paraná
Ana;Oliveira;Sousa;Chile;Minas Gerais
Pedro;Almeida;Santos;Colômbia;Pernambuco
Luísa;Silva;Silva;Brasil;Minas Gerais
Luísa;Silva;Ferreira;Colômbia;Rio Grande do Sul
Ricardo;Santos;Almeida;Chile;Bahia
Pedro;Silva;Silva;Chile;Ceará
Camila;Silva;Pereira;Brasil;Rio de Janeiro
Gustavo;Costa;Almeida;Chile;Paraná
Fernanda;Sousa;Silva;Brasil;Bahia
Ricardo;Silva;Oliveira;Argentina;Bahia
Pedro;Oliveira;Ferreira;Chile;Rio Grande do Sul
Luísa;Pereira;Lima;Portugal;Paraná
Pedro;Costa;Oliveira;Colômbia;São Paulo
Luísa;Martins;Silva;Colômbia;Rio Grande do Sul
Fernanda;Pereira;Santos;Argentina;São Paulo
Ana;Santos;Oliveira;Chile;Paraná
Ricardo;Silva;Ferreira;Colômbia;Bahia
Luísa;Costa;Silva;Brasil;Rio Grande do Sul
Ricardo;Sousa;Lima;Brasil;Paraná
Ricardo;Sousa;Martins;Argentina;Minas Gerais
Ana;Silva;Sousa;Brasil;Minas Gerais
Ricardo;Silva;Ferreira;Portugal;Minas Gerais
Camila;Costa;Oliveira;Colômbia;Rio Grande do Sul
Carlos;Sousa;Martins;Chile;São Paulo
Fernanda;Silva;Oliveira;Colômbia;Bahia
Ana;Almeida;Martins;Brasil;Pernambuco
Ana;Pereira;Almeida;Colômbia;Rio Grande do Sul
João;Almeida;Pereira;Chile;São Paulo
Gustavo;Costa;Ferreira;Argentina;Rio Grande do Sul
Ana;Santos;Almeida;Chile;Rio de Janeiro
Ana;Oliveira;Almeida;Argentina;São Paulo
Gustavo;Lima;Costa;Chile;Rio Grande do Sul
Luísa;Oliveira;Sousa;Colômbia;Paraná
Fernanda;Almeida;Almeida;Chile;Bahia
Maria;Lima;Silva;Chile;Bahia
Fernanda;Oliveira;Silva;Chile;Ceará
João;Martins;Ferreira;Chile;São Paulo
Pedro;Santos;Martins;Chile;São Paulo
Ricardo;Almeida;Lima;Portugal;Ceará
Maria;Sousa;Sousa;Argentina;Ceará
Pedro;Costa;Silva;Argentina;Bahia
Fernanda;Costa;Lima;Chile;Bahia
Maria;Almeida;Santos;Argentina;Rio de Janeiro
Ana;Almeida;Ferreira;Colômbia;Ceará
João;Pereira;Costa;Colômbia;Bahia
Luísa;Oliveira;Almeida;Brasil;Ceará
Gustavo;Santos;Sousa;Portugal;Bahia
Camila;Pereira;Santos;Argentina;Ceará
Ana;Lima;Sousa;Portugal;Rio Grande do Sul
Luísa;Oliveira;Santos;Chile;Rio de Janeiro
Gustavo;Ferreira;Sousa;Colômbia;Paraná
Fernanda;Lima;Martins;Portugal;Ceará
Gustavo;Santos;Silva;Chile;São Paulo
Carlos;Lima;Silva;Argentina;Rio de Janeiro
Gustavo;Pereira;Ferreira;Chile;Bahia
Camila;Ferreira;Almeida;Portugal;Pernambuco
Pedro;Ferreira;Lima;Argentina;São Paulo
Camila;Ferreira;Pereira;Portugal;Paraná
Gustavo;Santos;Santos;Colômbia;Pernambuco
Pedro;Pereira;Costa;Colômbia;Rio Grande do Sul
Ricardo;Costa;Santos;Chile;Bahia
Carlos;Silva;Martins;Argentina;Minas Gerais
Ana;Ferreira;Ferreira;Chile;São Paulo
Fernanda;Santos;Lima;Argentina;São Paulo
João;Martins;Oliveira;Colômbia;Paraná
Gustavo;Ferreira;Oliveira;Colômbia;Pernambuco
Luísa;Almeida;Lima;Portugal;Rio de Janeiro
Camila;Almeida;Almeida;Argentina;Paraná
Carlos;Martins;Sousa;Colômbia;Minas Gerais
Fernanda;Almeida;Almeida;Colômbia;São Paulo
Ricardo;Oliveira;Silva;Brasil;Paraná
Camila;Martins;Pereira;Colômbia;Ceará
Maria;Santos;Lima;Colômbia;Rio de Janeiro
Carlos;Costa;Santos;Chile;Pernambuco
Ana;Santos;Sousa;Chile;Bahia
Carlos;Costa;Costa;Chile;Minas Gerais
Carlos;Costa;Oliveira;Argentina;Minas Gerais
Pedro;Silva;Pereira;Chile;Paraná
Ana;Silva;Costa;Argentina;Minas Gerais
Ana;Oliveira;Martins;Portugal;Ceará
Carlos;Sousa;Costa;Portugal;Paraná
Gustavo;Sousa;Ferreira;Brasil;Rio de Janeiro
Maria;Almeida;Santos;Brasil;Pernambuco
João;Sousa;Lima;Chile;Paraná
Pedro;Sousa;Pereira;Chile;Rio Grande do Sul
Gustavo;Sousa;Martins;Argentina;Bahia
Gustavo;Martins;Almeida;Portugal;Minas Gerais
Pedro;Costa;Pereira;Argentina;São Paulo
Pedro;Costa;Martins;Portugal;Paraná
Luísa;Silva;Santos;Brasil;Paraná
Luísa;Sousa;Oliveira;Argentina;Bahia
Ricardo;Sousa;Santos;Argentina;Rio Grande do Sul
Ana;Ferreira;Oliveira;Portugal;Bahia
Ricardo;Lima;Almeida;Colômbia;Minas Gerais
Maria;Ferreira;Almeida;Brasil;São Paulo
Ana;Santos;Almeida;Argentina;Bahia
Carlos;Silva;Pereira;Argentina;Rio Grande do Sul
Pedro;Lima;Martins;Portugal;Minas Gerais
Gustavo;Costa;Oliveira;Colômbia;Pernambuco
Luísa;Lima;Silva;Colômbia;Rio de Janeiro
Pedro;Costa;Lima;Portugal;São Paulo
Pedro;Lima;Costa;Argentina;Rio de Janeiro
Gustavo;Sousa;Ferreira;Portugal;Ceará
Ricardo;Pereira;Oliveira;Brasil;Paraná
Carlos;Oliveira;Ferreira;Portugal;São Paulo
Ana;Sousa;Costa;Chile;São Paulo
Ricardo;Oliveira;Sousa;Portugal;Rio de Janeiro
Fernanda;Almeida;Martins;Chile;Pernambuco
Pedro;Costa;Oliveira;Argentina;Pernambuco
Pedro;Santos;Oliveira;Brasil;Paraná
Pedro;Martins;Ferreira;Argentina;Rio Grande do Sul
Gustavo;Almeida;Silva;Brasil;Paraná
Gustavo;Silva;Almeida;Portugal;Paraná
Camila;Martins;Silva;Colômbia;Paraná
Ricardo;Pereira;Silva;Brasil;Pernambuco
Pedro;Oliveira;Oliveira;Colômbia;São Paulo
João;Oliveira;Costa;Chile;Minas Gerais
Fernanda;Ferreira;Sousa;Colômbia;Rio de Janeiro
Maria;Pereira;Silva;Portugal;Paraná
João;Ferreira;Silva;Portugal;Paraná
Luísa;Pereira;Almeida;Brasil;Pernambuco
Pedro;Almeida;Pereira;Brasil;Bahia
Pedro;Almeida;Costa;Portugal;Pernambuco
Ana;Oliveira;Silva;Colômbia;Ceará
Carlos;Ferreira;Sousa;Colômbia;Rio Grande do Sul
Pedro;Almeida;Martins;Argentina;Rio Grande do Sul
Gustavo;Santos;Santos;Argentina;Rio de Janeiro
Gustavo;Lima;Oliveira;Brasil;Minas Gerais
Camila;Silva;Costa;Chile;Ceará
Pedro;Silva;Lima;Argentina;São Paulo
Luísa;Oliveira;Pereira;Chile;Ceará
Luísa;Pereira;Costa;Portugal;Minas Gerais
Ricardo;Almeida;Silva;Chile;Paraná
Ricardo;Oliveira;Santos;Brasil;Bahia
Carlos;Pereira;Lima;Argentina;Bahia
Ana;Pereira;Martins;Argentina;Bahia
Ana;Santos;Almeida;Argentina;Pernambuco
